Word	Style_W	Wordstem	Chapter 0	Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5	Chapter 6	Chapter 7	Chapter 8	Chapter 9	Chapter 10	Chapter 11	Chapter 12,
play	verb	plai	0	0	1	0	1	0	4	0	3	0	0	0	0	0
twinkle	verb	twinkle	0	0	0	0	0	0	0	8	0	0	0	1	0	0
work	noun	work	0	1	0	0	0	2	2	2	0	0	1	0	1	0
continued	adjective	continued	0	0	0	1	0	1	1	1	0	0	3	2	0	0
waiting	adjective	waiting	0	1	1	0	2	0	0	0	1	0	3	1	0	0
sit	verb	sit	0	0	2	1	0	0	2	1	0	1	0	1	1	0
interrupted	adjective	interrupted	0	0	0	0	0	0	0	2	0	2	2	2	1	0
beg	noun	beg	0	0	3	4	0	0	0	0	0	0	0	1	1	0
key	noun	kei	0	6	2	0	0	0	0	1	0	0	0	0	0	0
does	verb	does	0	0	0	0	2	1	2	1	0	1	2	0	0	0
piece	noun	piece	0	0	0	1	0	1	2	2	0	0	0	2	1	0
whisper	verb	whisper	0	0	0	1	1	0	0	2	2	1	0	2	0	0
distance	noun	distance	0	1	1	1	1	0	0	0	1	1	1	0	1	0
eagerly	adverb	eagerli	0	0	1	2	0	0	0	0	1	1	2	1	0	0
dry	adjective	dri	0	1	0	6	0	0	0	0	0	0	1	0	0	0
mushroom	noun	mushroom	0	0	0	0	2	4	1	1	0	0	0	0	0	0
opportunity	noun	opportuniti	0	1	0	1	1	1	2	0	1	0	0	1	0	0
shoulder	noun	shoulder	0	1	0	0	0	2	0	1	1	2	0	1	0	0
ground	noun	ground	0	0	0	0	0	0	1	0	5	2	0	0	0	0
live	verb	live	0	0	1	0	0	0	2	3	2	0	0	0	0	0
wood	noun	wood	0	0	0	0	2	1	4	1	0	0	0	0	0	0
making	noun	making	0	1	1	0	2	1	1	1	0	0	0	0	1	0
window	noun	window	0	0	0	0	8	0	0	0	0	0	0	0	0	0
execute	verb	execute	0	0	0	0	1	0	0	0	3	1	0	3	0	0
bright	verb	bright	0	1	1	0	2	0	0	2	0	0	0	0	2	0
stupid	adjective	stupid	0	2	0	0	0	0	1	2	0	0	0	3	0	0
asleep	adjective	asleep	0	0	0	0	0	0	0	6	0	1	0	1	0	0
running	adjective	running	0	0	0	2	1	0	1	0	1	0	2	0	1	0
nose	noun	nose	0	0	0	0	0	1	4	1	0	0	2	0	0	0
frighten	verb	frighten	0	0	1	0	2	2	0	0	1	1	0	0	1	0
deep	adjective	deep	0	2	1	0	0	1	0	0	0	2	1	1	0	0
whiting	noun	whiting	0	0	0	0	0	0	0	0	0	0	8	0	0	0
history	noun	histori	0	1	2	1	0	0	0	0	0	3	0	0	1	0
hard	adjective	hard	0	0	2	0	3	0	0	0	1	0	0	1	1	0
fancy	noun	fanci	0	2	1	0	2	0	0	1	0	2	0	0	0	0
story	noun	stori	0	0	0	2	0	1	0	3	0	2	0	0	0	0
lying	noun	lying	0	1	2	0	1	0	0	0	2	1	0	0	1	0
tart	adjective	tart	0	1	0	0	0	0	0	0	0	0	0	5	2	0
ready	adjective	readi	0	0	1	3	1	0	1	0	0	2	0	0	0	0
william	Not found	william	0	0	1	3	0	3	0	0	0	0	1	0	0	0
meaning	noun	meaning	0	0	0	1	0	1	0	1	0	0	0	1	4	0
move	verb	move	0	0	0	2	0	0	0	3	1	0	0	0	2	0
exactly	adverb	exactli	0	0	0	1	0	1	1	2	1	1	0	0	1	0
haven	noun	haven	0	0	0	0	0	3	1	1	0	0	1	1	1	0
fact	noun	fact	0	1	1	0	0	0	2	0	1	1	0	1	1	0
slowly	adverb	slowli	0	1	1	0	1	0	1	1	0	2	1	0	0	0
pepper	noun	pepper	0	0	0	0	0	0	3	0	0	3	0	2	0	0
rule	noun	rule	0	2	0	0	0	0	0	0	2	1	0	0	3	0
pardon	noun	pardon	0	0	2	2	0	0	0	0	0	1	0	1	1	0
lory	noun	lori	0	0	1	6	0	0	0	0	0	0	0	0	0	0
tired	adjective	tired	0	2	2	0	2	0	0	1	0	0	0	0	0	0
shriek	verb	shriek	0	0	0	0	2	1	0	1	0	0	0	1	2	0
golden	adjective	golden	0	3	3	0	0	0	0	1	0	0	0	0	0	0
song	noun	song	0	0	0	0	0	0	1	1	0	0	5	0	0	0
hot	adjective	hot	0	3	1	0	0	0	0	1	0	1	1	0	0	0
order	noun	order	0	0	0	0	1	0	1	0	0	3	2	0	0	0
bread	verb	bread	0	0	0	0	0	0	0	2	0	0	0	5	0	0
confus	adjective	confus	0	0	0	1	0	1	0	2	1	0	1	0	1	0
feeling	adjective	feeling	0	1	1	0	0	0	1	0	1	1	1	1	0	0
pocket	noun	pocket	0	2	0	2	0	0	0	2	0	0	1	0	0	0
bat	noun	bat	0	6	0	0	0	0	0	1	0	0	0	0	0	0
subject	adjective	subject	0	0	2	0	0	0	1	1	0	2	1	0	0	0
grown	verb	grown	0	0	0	0	1	1	1	0	0	0	0	0	4	0
sentence	noun	sentence	0	0	1	0	0	0	0	0	2	2	0	0	2	0
oop	verb	oop	0	0	0	0	0	0	0	0	0	0	7	0	0	0
chin	noun	chin	0	0	1	0	0	2	0	0	0	4	0	0	0	0
soo	Not found	soo	0	0	0	0	0	0	0	0	0	0	7	0	0	0
begun	verb	begun	0	2	0	0	0	0	0	1	1	0	1	2	0	0
girl	noun	girl	0	1	1	0	0	4	0	0	0	0	0	1	0	0
cheshire	Not found	cheshir	0	0	0	0	0	0	4	0	3	0	0	0	0	0
silent	adjective	silent	0	0	0	0	0	1	0	2	3	1	0	0	0	0
venture	noun	venture	0	1	0	1	0	1	0	1	0	3	0	0	0	0
shoe	noun	shoe	0	0	1	0	0	0	0	0	0	0	4	2	0	0
evidence	noun	evidence	0	0	0	0	0	0	0	0	0	0	0	4	3	0
middle	adjective	middle	0	1	0	1	2	0	1	0	0	1	0	1	0	0
paw	noun	paw	0	0	1	0	2	0	2	0	0	2	0	0	0	0
generally	adverb	generalli	0	2	0	1	0	0	0	0	2	1	1	0	0	0
rose	noun	rose	0	0	0	0	0	0	0	0	6	0	0	0	1	0
business	noun	business	0	0	0	0	1	0	1	0	3	1	0	0	1	0
puppy	noun	puppi	0	0	0	0	7	0	0	0	0	0	0	0	0	0
fall	verb	fall	0	4	0	0	1	0	0	0	1	0	1	0	0	0
stood	verb	stood	0	0	0	0	1	0	1	0	4	1	0	0	0	0
learn	verb	learn	0	0	1	0	2	0	0	2	0	2	0	0	0	0
adventure	noun	adventure	1	0	0	0	0	0	0	0	0	0	4	0	2	0
loud	adjective	loud	0	0	0	0	2	0	2	0	1	1	0	1	0	0
kind	adjective	kind	0	0	1	0	1	2	0	0	0	1	2	0	0	0
chimney	noun	chimnei	0	0	0	0	6	0	1	0	0	0	0	0	0	0
treacle	noun	treacle	0	0	0	0	0	0	0	6	0	0	0	1	0	0
nonsense	noun	nonsense	0	0	1	1	0	0	0	0	2	0	1	1	1	0
draw	verb	draw	0	0	0	0	0	1	0	6	0	0	0	0	0	0
fetch	verb	fetch	0	0	1	1	3	0	0	0	2	0	0	0	0	0
sir	noun	sir	0	0	1	1	0	4	0	0	0	1	0	0	0	0
